Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,706,3,T:System.Windows.Forms.CheckBox,,,,,cbStopMonitoringIntermediateHopsThatDoNotRepondToRegularPings.Enabled = cbTraceroute.Checked;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,706,3,P:System.Windows.Forms.Control.Enabled,,,,,cbStopMonitoringIntermediateHopsThatDoNotRepondToRegularPings.Enabled = cbTraceroute.Checked;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,695,4,T:System.Windows.Forms.Label,,,,,"lblTracerouteWarning.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,695,4,P:System.Windows.Forms.Label.Text,,,,,"lblTracerouteWarning.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,694,4,T:System.Windows.Forms.CheckBox,,,,,cbTraceroute.Enabled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,694,4,P:System.Windows.Forms.Control.Enabled,,,,,cbTraceroute.Enabled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,690,4,T:System.Windows.Forms.Label,,,,,"lblTracerouteWarning.Text = ""(disabled: multiple hosts)"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,690,4,P:System.Windows.Forms.Label.Text,,,,,"lblTracerouteWarning.Text = ""(disabled: multiple hosts)"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,689,4,T:System.Windows.Forms.CheckBox,,,,,cbTraceroute.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,689,4,P:System.Windows.Forms.Control.Enabled,,,,,cbTraceroute.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,680,3,T:System.Windows.Forms.TextBox,,,,,"string[] lines = txtHosts.Text.Split(new[] { '\r', '\n' }, StringSplitOptions.RemoveEmptyEntries);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,680,3,P:System.Windows.Forms.TextBox.Text,,,,,"string[] lines = txtHosts.Text.Split(new[] { '\r', '\n' }, StringSplitOptions.RemoveEmptyEntries);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,670,4,T:System.Windows.Forms.Button,,,,,btnSave.Enabled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,670,4,P:System.Windows.Forms.Control.Enabled,,,,,btnSave.Enabled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,669,4,T:System.Windows.Forms.Label,,,,,"lblUniqueWarning.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,669,4,P:System.Windows.Forms.Label.Text,,,,,"lblUniqueWarning.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,665,4,T:System.Windows.Forms.Button,,,,,btnSave.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,665,4,P:System.Windows.Forms.Control.Enabled,,,,,btnSave.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,664,4,T:System.Windows.Forms.Label,,,,,lblUniqueWarning.ForeColor = Color.Red;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,664,4,P:System.Windows.Forms.Control.ForeColor,,,,,lblUniqueWarning.ForeColor = Color.Red;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,663,4,T:System.Windows.Forms.Label,,,,,"lblUniqueWarning.Text = ""Name already in use"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,663,4,P:System.Windows.Forms.Label.Text,,,,,"lblUniqueWarning.Text = ""Name already in use"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,655,4,T:System.Windows.Forms.Button,,,,,btnSave.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,655,4,P:System.Windows.Forms.Control.Enabled,,,,,btnSave.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,654,4,T:System.Windows.Forms.Label,,,,,lblUniqueWarning.ForeColor = Color.Red;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,654,4,P:System.Windows.Forms.Control.ForeColor,,,,,lblUniqueWarning.ForeColor = Color.Red;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,653,4,T:System.Windows.Forms.Label,,,,,"lblUniqueWarning.Text = ""Name is required"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,653,4,P:System.Windows.Forms.Label.Text,,,,,"lblUniqueWarning.Text = ""Name is required"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,650,3,T:System.Windows.Forms.TextBox,,,,,string name = txtDisplayName.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,650,3,P:System.Windows.Forms.TextBox.Text,,,,,string name = txtDisplayName.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,602,2,T:System.Windows.Forms.FormClosingEventArgs,,,,,"private void ConfigurationForm_FormClosing(object sender, FormClosingEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,624,9,T:System.Windows.Forms.DialogResult,,,,,if (dr == DialogResult.No)  				{  					// Discard changes — revert MainForm if editing the loaded config  					if (IsEditingLoadedConfig())  					{  						allConfigs = new PingConfigurations();  						allConfigs.Load();  						PingConfiguration savedCfg = allConfigs.GetByGuid(editingGuid);  						if (savedCfg != null)  							ConfigurationEditDiscarded?.Invoke(savedCfg);  					}  				}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,624,9,T:System.Windows.Forms.DialogResult,,,,,if (dr == DialogResult.No)  				{  					// Discard changes — revert MainForm if editing the loaded config  					if (IsEditingLoadedConfig())  					{  						allConfigs = new PingConfigurations();  						allConfigs.Load();  						PingConfiguration savedCfg = allConfigs.GetByGuid(editingGuid);  						if (savedCfg != null)  							ConfigurationEditDiscarded?.Invoke(savedCfg);  					}  				}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,624,9,F:System.Windows.Forms.DialogResult.No,,,,,if (dr == DialogResult.No)  				{  					// Discard changes — revert MainForm if editing the loaded config  					if (IsEditingLoadedConfig())  					{  						allConfigs = new PingConfigurations();  						allConfigs.Load();  						PingConfiguration savedCfg = allConfigs.GetByGuid(editingGuid);  						if (savedCfg != null)  							ConfigurationEditDiscarded?.Invoke(savedCfg);  					}  				}
